ID,機能名,優先度,ステータス,概要,補足
Core,公開範囲モード,最高,完了,投稿・配信の公開範囲を3つのモード（AI/Mix/Human）から選択,アプリの根幹機能。2024/12/08完了
1,ネガティブ判定調整,高,完了,誹謗中傷のみブロックし、個人のネガティブ感情は許可する修正,2024/12/07完了
2,AIコメント反応時間調整,高,未着手,AIコメントを3分〜15時間ランダム遅延させる,AIバレ防止
3,AIリアクション機能,中,未着手,AIリアクションもランダム遅延させる,
3.5,AIコメントメディア対応,中,完了,画像・動画の内容をAIが認識してコメントする,2024/12/08完了
4,プロフィールアイコンカスタマイズ,中,未着手,パーツ組み合わせでアイコンを作成する,徳ポイントショップと連携
5,サークル機能,中,設計完了,同じ目標の仲間と集まるフィード機能。AIも参加。,設計書v4作成済み
6,タスクリストウィジェット,中,未着手,ホーム画面からタスク完了などができるウィジェット,Flutter home_widget使用
7,タスク公開＆達成記録機能,高,設計完了,タスクの公開設定、達成時のメディア記録（Proof of Work）,設計書v2作成済み
8,AIデイリータスク自動生成,中,未着手,目標からAIが日々のタスクを提案する,Gemini API活用
9,配信機能,低,未着手,努力の様子をライブ配信する,Agra SDK想定
10,名前パーツ方式,高,完了,形容詞+名詞のパーツ組み合わせで名前を作成,AIと人間の区別をなくす。2024/12/08完了
11,徳ポイントショップ,中,未着手,徳ポイントで名前/アイコンパーツを購入する,ゲーミフィケーション
12,フォロー表示の修正,中,完了,フォロワー数・リストを非表示にする,競争・プレッシャー排除。2024/12/08完了
Spec,通知機能仕様,高,調整中,通知の匿名化（誰からかは隠す）、フォロー通知廃止,UXに直結
13,AIアカウントキャラ設計,中,完了,AIキャラを属性のランダム組み合わせで生成,20体生成済み。2024/12/08完了
